Days_Since_Last_Purchase,Lifetime_Value,Average_Order_Value,Total_Purchases,Discount_Usage_Rate,Cart_Abandonment_Rate,Membership_Years,Returns_Rate,Login_Frequency,Age,Gender,Country,Signup_Quarter,Churn
346,5470.369074141324,35.07341072855273,53,38.62363952990896,28.013411877537976,1.0223336009878774,36.93263252940711,4,41,Other,Canada,Q3,1
53,30281.34011725073,107.50478591378797,67,48.48587397161036,14.601690559210823,4.663409511802511,47.9393321970204,2,72,Female,UK,Q1,0
340,5813.752849771076,46.94505244202084,90,35.49951158139418,28.917825385644313,1.3224643667373925,43.11358646764696,4,70,Male,USA,Q2,1
92,43.51717001454439,27.70726271691199,18,32.071216498429386,30.976531414290342,0.7494714766407906,8.394634590250666,9,45,Male,USA,Q1,1
264,15559.823626264386,87.99420087150537,9,96.39160120731884,52.188446192747826,0.4498363943048045,16.341015312586606,4,59,Other,Canada,Q2,0
35,1167.3990928467579,41.033963136920875,38,64.15796812433942,66.3704478926256,2.816918703330828,8.62259199382327,5,54,Female,UK,Q3,0
206,773.868018448451,52.138575856540534,87,2.343295536738821,38.110051361181405,0.568812312403259,30.065418190735205,8,39,Other,USA,Q4,1
81,2157.3652077465035,70.33537017520533,21,43.01759084443132,71.94702313133811,0.6938794205631538,35.60939909897461,2,56,Female,Other,Q3,0
50,227.3497580709122,59.28379614120729,65,87.50086997439702,33.616533857958,1.5001524029774833,15.85368846815291,2,33,Male,Canada,Q1,0
360,1101.2195829391667,26.642346507129815,21,30.145618641066797,29.028367731476035,1.4082650484223191,26.975328699214774,5,78,Male,Other,Q1,1
2,12464.557147588148,27.084086523343434,27,9.455634477438824,54.11880558570243,3.0211975516607117,34.546028503559754,4,52,Other,UK,Q4,0
54,2789.437679080108,46.717388894491954,70,75.83847715899178,2.3716360305790607,4.0837263973634075,21.066990830552417,8,44,Female,Other,Q1,0
106,1197.0341180936714,19.6062457123124,44,60.60138319360813,7.9789123634000365,3.806748281014462,42.70077652277296,6,29,Other,Canada,Q3,0
260,1254.3994860664911,129.02683373861615,28,57.03125078265039,41.796954358652705,1.3124222735823836,38.57749676439086,9,63,Female,USA,Q4,1
310,186.4026325085663,64.59207613669138,45,5.357655960740793,94.29127113917565,1.2265524899298996,3.233277192528533,7,45,Other,Canada,Q2,1
191,875.6952680559491,63.151733876123494,17,14.049900979551733,72.15117798434237,4.828957650534838,31.05626495454145,2,69,Male,USA,Q1,1
218,94.49595190096585,73.07967590517538,40,62.25493962131138,8.812656950055775,0.041181207959800625,11.76627754798748,8,18,Other,USA,Q2,1
44,5083.0229301957215,135.9312920998471,3,20.782384145883583,84.63180127808737,4.398602665301079,27.875913233363764,3,56,Female,Other,Q4,0
162,41.32362111436935,175.4204374818632,76,50.40700797484243,73.2300770608181,0.9986425956120248,47.844422131648315,5,75,Other,Canada,Q1,1
202,3953.4763894525518,154.2265171855713,76,54.488168602939346,61.09465257026532,4.736421615448839,43.95310022761251,4,35,Female,Canada,Q4,1
270,4765.302754668373,148.23055374276805,66,28.35071902709394,82.02929606091773,1.7115364241375985,20.225820155756587,5,40,Other,USA,Q1,1
351,7927.927439953965,102.03432526416135,46,94.84251555414929,40.41098477429571,2.2017588694662615,14.575692917217669,4,39,Female,Canada,Q1,1
304,1249.2376256383855,141.82305582380823,86,84.24641068355751,22.150105085385274,3.5356030697219047,11.720287220412951,8,21,Female,UK,Q1,0
271,4337.019756818819,115.0248499263808,87,72.23735076327985,51.20233891087593,2.9383452573663016,26.625743487826004,0,65,Female,UK,Q4,0
215,862.9700961603404,51.08760035544049,30,7.7993866409409085,54.88417555934738,1.589696648534114,5.712422662902816,7,28,Other,Other,Q4,1
252,184.92573711144067,49.631789870799636,69,10.613001930901945,53.83263720099121,2.7691545793391175,27.46375040641243,4,35,Other,Other,Q3,0
190,10895.428633292482,66.31448130630386,9,49.27813458649557,56.50737914801053,3.653534421814431,0.06668197453960079,5,72,Male,Canada,Q3,1
296,948.3003297123095,183.0525074842645,85,16.071334919098568,94.87049182391807,0.21167472951246047,16.19248153729224,2,65,Female,Other,Q4,1
213,132.3874729427013,114.00881967214792,11,97.8265463529474,90.22456230962314,0.055996526278520586,10.996715691529063,3,24,Male,Canada,Q4,1
208,544.450800626976,149.44202163035519,69,15.852023402740944,87.57170365589394,2.2903346953644563,48.560939498039104,3,38,Male,Other,Q1,1
237,577.6758950232876,75.84616436514405,99,48.746783546397396,80.14168109086272,0.659183089017571,36.36211597849895,1,74,Female,UK,Q3,1
338,2191.94679887318,87.46599642639279,91,36.41210568415054,94.34281072652854,3.321721457323572,17.482669023111885,3,52,Male,USA,Q3,1
53,37070.29392601906,33.857459941077764,66,63.938642145409794,9.849464167940326,1.070262281137171,4.642254326531026,4,74,Other,USA,Q4,0
280,2400.9695644028343,42.54604198611737,88,12.90364088894249,26.51232614457395,2.1642555339783547,25.8400297345312,4,54,Male,UK,Q3,1
217,1495.5746271994467,167.19774541696765,31,43.03164280423909,49.50559456545849,0.9883546843713448,10.672394066302115,7,67,Other,USA,Q4,1
252,43637.15735666418,121.11934002088759,33,27.470503280714365,84.65344931234053,2.7424179287456223,26.82147729491789,9,74,Female,Canada,Q3,1
188,4761.606117090363,74.13116851792559,39,88.77515246716881,50.51657115227325,0.5802672969228445,41.76811770894462,1,47,Female,Canada,Q2,0
41,1605.7943033572199,162.54172970915374,94,4.058571213469508,74.80347393415887,0.1155342639374013,30.78962760506927,3,34,Female,UK,Q2,0
157,534.2597862533258,56.83878207121677,46,91.37274940064593,13.895990524891621,0.25565819053348593,31.68942097725011,5,50,Male,UK,Q3,1
15,1762.1679403653688,195.4462127340387,37,83.29941385530005,25.24138129765602,4.77129220757655,27.051514453140573,1,33,Female,UK,Q4,0
301,992.6859933645025,75.51534547177225,92,29.757071644081545,73.17760950376724,0.7114310930546791,46.36328163157046,3,32,Female,UK,Q2,1
65,1257.839934814298,74.08908128873324,60,78.92906546771047,16.473400888772403,3.5423912656841763,46.595134221030165,5,30,Other,USA,Q1,0
345,7876.222085815641,69.263262051974,31,3.121356033874756,35.135593465492676,0.33963102111413124,25.63616005367761,7,56,Male,USA,Q4,1
327,487.6103994909092,33.201188025614705,11,96.68655502933936,26.48662578135714,0.5408017611759108,15.287974357175221,4,20,Male,USA,Q2,1
9,2369.208144950358,31.116057993082357,87,52.65949425897893,34.98616942224785,2.5443812570466733,22.979350293972196,6,41,Female,Canada,Q1,0
344,4552.400634370869,133.13995656148344,2,30.328102606544526,70.83240490779703,2.3243546507717183,9.327895609780784,4,40,Male,Other,Q2,1
129,406.19414085792397,176.2724284660289,27,36.25832125946771,36.7847181142801,4.7579015471993475,31.817215765904468,3,76,Female,Canada,Q2,1
136,319.2798135487941,160.19889695161797,99,6.640535346049736,55.52633226079402,4.724177265103687,25.00461678911166,5,62,Other,Other,Q1,1
63,875.2303563666485,36.81044286405671,2,98.93495140420391,9.993187705440965,3.8980432127123255,5.165023890663995,4,65,Male,UK,Q1,0
139,548.7020689048934,113.66060314049263,21,3.9291945150692453,80.50176932346278,3.0105091506367487,9.882389055980767,4,72,Male,UK,Q3,1
81,6176.449761389539,30.0623937355616,58,65.49071231478591,36.988862564812486,2.2748015869650553,23.98159780997634,4,18,Other,USA,Q2,0
163,244.0437669986335,18.605982286484714,5,44.273592770645834,64.85341590333424,1.7808926716421052,44.37944953594292,5,49,Male,USA,Q1,0
289,1215.2523780854835,134.71331328310578,52,94.89162181887151,72.53896016618326,4.735437734877777,28.319536031554872,4,50,Female,Other,Q3,1
261,49964.72323517934,111.67894339926656,45,24.599974030679515,20.96609221117004,3.0145440571234277,34.07675001042354,8,77,Male,Other,Q1,1
231,2037.7158958996554,25.58450019017946,85,53.20868239380113,88.467498495335,2.8953626384299724,16.951427487195485,3,65,Male,USA,Q3,1
41,2614.7799307516157,16.638456817137804,93,48.2356208582753,61.62242516069529,1.1595056088445743,28.570569652211713,5,47,Other,UK,Q3,0
28,6254.295230339689,198.05371854777357,20,70.28664440501014,42.87251417514815,0.23348908942556534,22.36899113190337,4,19,Other,USA,Q1,0
135,547.6171447743292,15.704053108323656,61,6.801023195242051,18.233518357821954,4.725942898797722,32.956495631158035,3,35,Female,UK,Q1,1
201,216.56063053178363,94.46036807953033,38,19.378913002335484,94.23009379012068,1.5686762942232697,2.5287783039505185,5,76,Male,UK,Q2,1
328,1429.0524971573336,105.87761467546215,20,21.456482009284983,75.50682041316252,2.2129451166222935,24.66501081194796,5,70,Male,Canada,Q2,1
268,1632.8883875333972,32.28322808208456,25,73.81507548416897,20.802456273324886,0.5731997179285342,14.799631257198348,5,74,Other,Canada,Q3,1
33,96.80356362669461,42.12173790354609,2,18.913869632674007,33.77107747242245,4.18462164954646,16.30925306389546,2,72,Female,Other,Q1,1
48,1924.858758888718,76.84295121796697,32,57.349176389097664,80.96742580880732,0.13815916427965313,48.04587157790307,4,47,Male,UK,Q2,0
62,5457.661869817348,154.7184164805959,26,21.52438205009537,69.5677663215339,4.169953810495483,9.134740635569138,4,35,Female,USA,Q3,0
216,278.8232003530952,106.34566057145068,70,86.16249500839784,76.57842927157243,0.701425063939834,15.562262628929846,7,22,Male,UK,Q2,1
293,2107.660350361053,131.2013561650627,41,94.21854544896385,44.12011022129324,4.432820563155761,25.49462878654359,2,22,Other,Other,Q3,1
99,4181.375300052558,197.1831654672282,67,51.84929749422405,71.6476262642167,3.648863186680787,43.15134740748118,3,25,Other,UK,Q2,1
172,2643.9183329227303,155.92103270950983,97,35.23088842091783,38.64937228639137,0.8233513125365255,20.833504160318522,4,26,Other,UK,Q1,1
360,3045.771024512683,92.52868464683137,1,23.405777501749913,21.126291693819642,2.8290899642973404,37.19326404440855,5,49,Other,Other,Q4,1
214,759.6058173067714,94.82396514134426,51,4.978100152304377,63.26770348413599,1.5632815717760973,42.81870491074012,7,73,Other,UK,Q4,1
35,202.09613365774686,127.56669463779095,5,26.85000761974954,97.60139255987941,0.8911654945579173,15.500817791092448,5,31,Other,Canada,Q3,0
227,560.7528783504903,136.41938959959182,13,65.42357799453178,31.06009713953296,4.295910997055542,19.637509176935495,3,30,Female,Other,Q4,1
101,455.2807889550288,105.13507590896755,19,53.36169313092108,46.09695922125396,2.017613832536147,17.827811184417815,2,35,Other,Canada,Q4,1
131,972.2485004541147,132.52363233484618,12,94.40412782809274,67.40013710698535,1.9927185718269125,41.642790430896056,5,21,Female,Other,Q3,1
257,5652.80046118379,14.471173938678767,48,39.62772624917006,54.15062821224878,0.8494333740331,2.217343097680058,7,67,Other,UK,Q4,1
5,153.27593714230807,91.62834414040039,25,69.38633423283946,84.34277957090492,1.9153283804288934,15.421054441434002,5,39,Male,Canada,Q2,0
218,1361.54455188477,62.998234453960585,57,48.93227474751214,76.1742706469516,4.358084231644251,33.97042787975649,5,37,Male,Canada,Q2,1
255,222.49342079828966,34.54314459619097,35,51.25762159242117,5.829720386235704,1.8156435524481795,28.272174978267135,7,32,Male,USA,Q2,1
359,361.37985074364315,28.913837433667275,76,26.777431460411748,99.8421233923774,4.75801781249894,21.814467964684713,7,24,Female,Canada,Q1,1
283,2535.4112430359933,124.60651146678683,94,45.49507768419997,75.24024537194673,4.731544496041938,26.99741136106922,10,30,Other,Canada,Q2,1
207,184.02698785001593,109.48410395899623,5,47.07849970127073,86.39033162941132,0.7244932965367301,9.879229291415914,4,51,Female,UK,Q4,1
15,3298.972827324005,58.180982229310146,98,70.66425217489339,65.11977120953463,0.8865562676132244,21.53583108040052,4,58,Other,Canada,Q4,0
346,144.27963555315873,99.48051116677776,22,94.06399991861139,85.62851280467623,4.3133703516594455,25.08514920881745,0,47,Male,Canada,Q2,1
42,2982.361171390944,103.52413988465757,77,32.93212774825043,11.238297492870942,1.963804594623596,45.059456097730084,3,22,Female,Canada,Q1,0
179,107.30798835267242,47.051706283337005,57,4.2200468581298445,34.77378355593156,0.021869911415046683,13.041758140198818,3,18,Other,UK,Q2,0
63,434.10263013718424,133.89768175751362,47,49.62951255006397,87.64209436044928,1.369359098526855,43.39142510824663,2,77,Female,Other,Q1,0
352,18858.925359657624,158.3746777133572,54,54.446133214916856,20.165521126689224,2.9881449659777997,32.21207004129909,9,48,Female,UK,Q1,1
231,14225.900409199405,160.3780727690086,3,16.844055113191526,7.824209858002273,3.99632982979984,1.0170415533800492,8,76,Male,Canada,Q2,1
241,590.6437366800521,124.46926783365646,53,76.04646062760668,78.8118939945219,0.6669430854662978,36.231566844969684,8,68,Male,Other,Q1,1
52,1968.330260927816,107.21133067861267,84,98.49291084414916,83.54861556432962,0.5527068220836767,1.7775938774527544,4,37,Male,UK,Q4,0
96,6674.850114950828,21.59135717102503,31,94.57747170084609,16.26522181899006,4.610463267861658,49.869056340690655,10,36,Male,UK,Q2,1
222,3047.095929129349,64.68794678180511,69,19.71060388236522,85.43459827827155,3.7557418391129134,43.631834384559895,3,71,Male,Other,Q4,1
231,727.6379698317486,27.72157488785228,88,87.53632399007607,68.67677955971696,2.9488980038903922,14.867187377002283,2,46,Other,USA,Q1,1
237,356.7541998956886,193.12640056690998,33,70.44936364116847,52.00826832165839,3.8459339499796403,12.870561509835271,2,62,Other,Canada,Q3,1
143,4032.5520374801013,35.66522778289453,72,45.384656380691155,83.0250192781385,2.144271806533192,19.072054105280444,2,55,Male,USA,Q2,1
171,5979.277157233853,38.83732787170939,88,54.0610994324729,41.92492493189658,3.792278736545633,17.808348265722152,6,27,Male,Canada,Q3,1
29,14379.412162167291,179.01955748279352,50,84.9600174982458,19.39939562233972,1.8590149563726788,18.616890919269053,2,46,Male,Canada,Q3,0
36,87.28039479413091,189.346373860527,84,48.01349396383732,28.485267661061364,1.2204728624630117,15.91382730597402,9,48,Female,USA,Q3,1
13,167.38772327444116,155.50751745463288,16,37.320736910512686,50.51640182933148,3.645067106464843,31.05667034241657,8,28,Male,USA,Q3,0
160,6265.949444289308,11.026935497807276,76,49.32474930259858,53.13307926731758,2.0983614607863417,8.213183186031198,4,40,Other,Canada,Q4,1
327,106.98666279046213,10.255791481747103,77,57.91298040350491,80.55808264412336,4.906885521630974,42.299064622300655,4,47,Other,Other,Q2,1
187,7029.177169527312,81.83914625961565,39,18.907765377834885,79.13527236523345,1.747425911540505,40.620124201565766,3,42,Female,Other,Q4,1
243,794.4112235936149,37.24512030206958,89,90.09077302669907,58.13665572045748,4.608637102655329,23.82416039276352,9,33,Other,USA,Q1,1
86,502.01463416752995,13.493367008803485,46,67.41869488296139,78.07854833654764,4.664812742835397,42.63649826392738,10,75,Male,USA,Q2,0
284,1492.403063990189,98.17267098685589,96,63.326891733748894,19.1773458293671,1.2092647353237307,12.357253501514665,5,74,Female,UK,Q2,1
66,145.7579430690863,189.18176050732458,88,9.949622618063813,5.006452709329434,3.991105907940067,0.8782727851983474,5,40,Female,Other,Q4,0
170,3774.4963890049407,71.52571923146198,47,60.41739381725918,87.36338226347002,2.165372525722826,30.96039625149115,9,76,Other,Other,Q1,1
45,13828.064929533755,135.61672890145235,44,12.096066223849233,7.5554493762769575,4.58762363615174,22.89547034823577,2,50,Male,Canada,Q3,0
62,4047.5390106793384,133.92471709516374,9,7.869767519539906,24.66884297439973,2.2506213631761938,28.35822731479353,5,68,Male,UK,Q1,0
134,757.661685770519,57.705219696381874,87,52.73108956423933,69.53189496243846,3.7215185866868303,44.96697045092015,5,54,Male,Canada,Q4,0
284,109.17438195991421,133.5807972765342,50,40.2785534046495,40.94479376273091,2.3348370458189893,48.49627867829717,8,75,Female,UK,Q4,1
28,115.65583203169413,50.34345511450934,77,58.88102701562232,87.63139699155089,1.1390037785642808,31.72265698778015,6,45,Other,Other,Q4,0
108,149.2369105084923,33.18140857960892,60,8.92221680572386,29.797979466226955,0.9967506447234314,38.20277949262192,6,44,Other,Canada,Q3,1
44,1076.6208627772855,143.2628242563411,96,43.09830628472584,1.1871346669359295,2.127155971281728,4.1904216743582134,7,23,Other,UK,Q2,0
340,1299.9747171429208,31.553755249744178,15,17.4786715045158,30.06556405607441,3.777473285071075,8.03577924457528,5,55,Male,Canada,Q1,1
286,4034.611389333775,199.4127515319775,36,98.71000859241165,57.80750491848317,3.025357425903834,36.66024024764883,5,54,Female,UK,Q1,1
331,74.14009805412945,44.85595621854357,63,56.11502124351744,37.59383754032933,3.4431464495027164,21.568272819400097,7,23,Female,USA,Q3,1
128,7838.598586061652,122.88695392372694,69,68.74368609408673,53.48727557587553,1.4116317536597123,22.298263520220285,4,42,Other,Canada,Q4,0
348,3107.610799990916,88.16116856839199,86,32.541828068260784,87.65981188350187,2.4071767297880275,15.43038408177183,4,30,Other,USA,Q1,1
231,671.6555000957109,34.013420257076746,80,9.473891477934416,91.24850542303685,0.221976324846635,30.367819173887188,6,79,Female,UK,Q2,1
190,184.07765146246783,15.290342439708546,41,97.58708627835367,26.59740646541121,4.087662079790603,9.25825227081013,6,50,Other,Canada,Q1,1
225,7141.734568090781,128.3191336356383,74,28.62590353831832,46.21404732699007,4.949460811199373,31.34581396569478,4,50,Female,UK,Q4,1
283,699.1456279889564,163.28393711993397,24,42.38081851735742,54.91440152414512,2.0343953131233543,8.689942856761984,3,42,Female,UK,Q1,0
121,1064.1925812972606,169.98297568628135,82,64.9863921702575,94.9112456888247,0.05481826565771675,3.1913017354856796,3,31,Other,USA,Q4,1
116,1949.674971108165,101.71555988461755,49,2.4697297686111286,99.86173191643847,0.8489631977547368,16.51788443495305,10,57,Female,Canada,Q2,1
233,278.7183130978601,157.71653876465325,18,81.0259130517287,23.540724884152663,3.2626343887520943,11.557017100492384,6,58,Female,Other,Q3,1
259,718.1863900020551,137.8409553628235,7,53.65781900286203,72.69798713458154,3.060396591019296,44.44958192781662,6,72,Other,UK,Q4,1
359,4015.733714531132,147.6083602248353,4,27.821718706882216,37.80310622331952,3.9393235979277197,2.74767269343133,4,59,Other,USA,Q4,0
198,3450.0503969986676,103.59381099214468,90,6.160798529246925,0.8108196886213226,1.269420054805341,8.830684628706143,1,55,Other,Other,Q1,0
137,3497.0002552092533,130.34823064600414,69,16.249841547444145,0.9252522435902355,3.8181595777356705,27.43598027915247,5,26,Female,USA,Q3,0
318,193.878247781003,163.04992357945082,60,89.50338588534369,46.05660075622558,3.4399201076183488,24.05335954237368,7,35,Other,USA,Q4,1
165,769.0296104541582,85.59799335583438,55,68.60242239358911,48.833491300433465,1.6140724885692164,2.292600918735077,4,32,Other,USA,Q1,0
225,605.1093874732077,163.1359911648409,16,24.990172163688985,2.2569696573442655,2.72744074028481,0.3626214007572237,3,21,Female,UK,Q2,1
307,2075.1075515877674,122.48320012992194,99,6.560076494502953,68.69274167743025,0.7363690424916336,49.403397098057496,5,51,Female,Other,Q3,0
234,1814.3580351186843,41.521194630449386,90,69.06153123866363,29.400338859495314,2.2628225171779133,32.94173501794191,7,79,Other,UK,Q1,0
172,1384.5645932821808,14.689989872671077,82,57.24077259677651,55.98931015359494,4.4059866977782045,18.27030654507784,9,55,Other,UK,Q3,1
152,44293.841713463706,78.92318407583889,29,40.4519524458235,30.091907316541878,2.105956899126954,23.521612383162065,2,34,Female,Canada,Q4,1
315,708.9541669370327,113.87230237630457,23,36.361144919006385,16.71343148693072,4.19783353237711,13.327506022714347,6,24,Female,Other,Q1,1
160,594.8238854534648,169.5658669186628,14,21.68142759291083,40.71737385988753,2.951266826298472,17.24368918466049,2,49,Male,Canada,Q2,1
96,193.4222251565364,34.222279226646776,79,66.96112565375176,23.227336479050077,0.9593835655117838,32.452223363410695,3,72,Female,USA,Q2,1
233,109.20523602483811,162.03920605988003,49,97.06680277938705,53.480097691916804,2.905531223489482,44.14058994336854,5,40,Female,Other,Q1,1
180,175.83111037345319,173.9717187527731,33,17.571524583682585,19.882853028647997,2.5299166457853173,9.206501154059243,3,79,Male,Other,Q1,1
113,373.14874183647566,38.63062253015842,25,59.71166200155034,50.840597664462706,1.99320667598192,42.018075269265935,4,37,Other,UK,Q3,0
318,7825.239654063762,171.80292066780163,21,42.41850557459762,15.737851486886756,0.5981521975803517,6.077831475913453,5,64,Male,USA,Q1,0
52,1162.9856998679727,198.3761778901305,17,44.668872174466486,67.09747094857849,2.083543319236149,10.74961117941956,4,73,Female,UK,Q3,0
268,1465.5648355617939,148.09937789916512,23,25.41472801278144,75.39376844414241,0.36381188119813557,1.8587644024822991,5,70,Male,Canada,Q4,1
